file,handle,title,reading,background,background_hex,ink_hex,typeface,typeface_family,orientation,variant_skus
PRV-04-KNR-FDET.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,生成り,#f2ece0,#2a2724,筆文字,Yuji Syuku,縦書き,PRV-04-KNR-S-FDET PRV-04-KNR-M-FDET PRV-04-KNR-L-FDET
PRV-04-KNR-FDEY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,生成り,#f2ece0,#2a2724,筆文字,Yuji Syuku,横書き,PRV-04-KNR-S-FDEY PRV-04-KNR-M-FDEY PRV-04-KNR-L-FDEY
PRV-04-KNR-GOTT.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,生成り,#f2ece0,#2a2724,極太ゴシック,Dela Gothic One,縦書き,PRV-04-KNR-S-GOTT PRV-04-KNR-M-GOTT PRV-04-KNR-L-GOTT
PRV-04-KNR-GOTY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,生成り,#f2ece0,#2a2724,極太ゴシック,Dela Gothic One,横書き,PRV-04-KNR-S-GOTY PRV-04-KNR-M-GOTY PRV-04-KNR-L-GOTY
PRV-04-AI-MINT.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,藍,#1f3c66,#f4f1e8,明朝,Shippori Mincho,縦書き,PRV-04-AI-S-MINT PRV-04-AI-M-MINT PRV-04-AI-L-MINT
PRV-04-AI-MINY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,藍,#1f3c66,#f4f1e8,明朝,Shippori Mincho,横書き,PRV-04-AI-S-MINY PRV-04-AI-M-MINY PRV-04-AI-L-MINY
PRV-04-AI-FDET.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,藍,#1f3c66,#f4f1e8,筆文字,Yuji Syuku,縦書き,PRV-04-AI-S-FDET PRV-04-AI-M-FDET PRV-04-AI-L-FDET
PRV-04-AI-FDEY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,藍,#1f3c66,#f4f1e8,筆文字,Yuji Syuku,横書き,PRV-04-AI-S-FDEY PRV-04-AI-M-FDEY PRV-04-AI-L-FDEY
PRV-04-AI-GOTT.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,藍,#1f3c66,#f4f1e8,極太ゴシック,Dela Gothic One,縦書き,PRV-04-AI-S-GOTT PRV-04-AI-M-GOTT PRV-04-AI-L-GOTT
PRV-04-AI-GOTY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,藍,#1f3c66,#f4f1e8,極太ゴシック,Dela Gothic One,横書き,PRV-04-AI-S-GOTY PRV-04-AI-M-GOTY PRV-04-AI-L-GOTY
PRV-04-SUMI-MINT.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,墨,#22201e,#efe9dc,明朝,Shippori Mincho,縦書き,PRV-04-SUMI-S-MINT PRV-04-SUMI-M-MINT PRV-04-SUMI-L-MINT
PRV-04-SUMI-MINY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,墨,#22201e,#efe9dc,明朝,Shippori Mincho,横書き,PRV-04-SUMI-S-MINY PRV-04-SUMI-M-MINY PRV-04-SUMI-L-MINY
PRV-04-SUMI-FDET.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,墨,#22201e,#efe9dc,筆文字,Yuji Syuku,縦書き,PRV-04-SUMI-S-FDET PRV-04-SUMI-M-FDET PRV-04-SUMI-L-FDET
PRV-04-SUMI-FDEY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,墨,#22201e,#efe9dc,筆文字,Yuji Syuku,横書き,PRV-04-SUMI-S-FDEY PRV-04-SUMI-M-FDEY PRV-04-SUMI-L-FDEY
PRV-04-SUMI-GOTT.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,墨,#22201e,#efe9dc,極太ゴシック,Dela Gothic One,縦書き,PRV-04-SUMI-S-GOTT PRV-04-SUMI-M-GOTT PRV-04-SUMI-L-GOTT
PRV-04-SUMI-GOTY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,墨,#22201e,#efe9dc,極太ゴシック,Dela Gothic One,横書き,PRV-04-SUMI-S-GOTY PRV-04-SUMI-M-GOTY PRV-04-SUMI-L-GOTY
PRV-04-SHU-MINT.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,朱,#b03a2e,#f7f2e7,明朝,Shippori Mincho,縦書き,PRV-04-SHU-S-MINT PRV-04-SHU-M-MINT PRV-04-SHU-L-MINT
PRV-04-SHU-MINY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,朱,#b03a2e,#f7f2e7,明朝,Shippori Mincho,横書き,PRV-04-SHU-S-MINY PRV-04-SHU-M-MINY PRV-04-SHU-L-MINY
PRV-04-SHU-FDET.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,朱,#b03a2e,#f7f2e7,筆文字,Yuji Syuku,縦書き,PRV-04-SHU-S-FDET PRV-04-SHU-M-FDET PRV-04-SHU-L-FDET
PRV-04-SHU-FDEY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,朱,#b03a2e,#f7f2e7,筆文字,Yuji Syuku,横書き,PRV-04-SHU-S-FDEY PRV-04-SHU-M-FDEY PRV-04-SHU-L-FDEY
PRV-04-SHU-GOTT.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,朱,#b03a2e,#f7f2e7,極太ゴシック,Dela Gothic One,縦書き,PRV-04-SHU-S-GOTT PRV-04-SHU-M-GOTT PRV-04-SHU-L-GOTT
PRV-04-SHU-GOTY.png,senri-no-michi-mo-ippo-kara,千里の道も一歩から,せんりのみちもいっぽから,朱,#b03a2e,#f7f2e7,極太ゴシック,Dela Gothic One,横書き,PRV-04-SHU-S-GOTY PRV-04-SHU-M-GOTY PRV-04-SHU-L-GOTY
PRV-05-KNR-MINT.png,gukou-yama-wo-utsusu,愚公山を移す,ぐこうやまをうつす,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,縦書き,PRV-05-KNR-S-MINT PRV-05-KNR-M-MINT PRV-05-KNR-L-MINT
PRV-05-KNR-MINY.png,gukou-yama-wo-utsusu,愚公山を移す,ぐこうやまをうつす,生成り,#f2ece0,#2a2724,明朝,Shippori Mincho,横書き,PRV-05-KNR-S-MINY PRV-05-KNR-M-MINY PRV-05-KNR-L-MINY
